"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"426","5113","23710","2011",60,"E","u"
"426","5113","23710","2012",60,"E","u"
"426","5113","23710","2013",60,"E","u"
"426","5113","23710","2014",6,"I","-"
"426","5113","23710","2015",6,"E","u"
"426","5113","23710","2016",6,"E","u"
"426","5113","23710","2017",6,"E","u"
"426","5113","23710","2018",6,"E","u"
"426","5113","23710","2019",6,"E","u"
"426","5113","23710","2020",6,"E","u"
"426","5113","23710","2021",6,"I","-"
"426","5113","23710","2022",6,"I","-"
"426","5113","23710","2023",6,"E","t"
"426","5610","23710","2010",30,"E","f"
"426","5610","23710","2011",30,"E","t"
"426","5610","23710","2012",30,"E","t"
"426","5610","23710","2013",30,"E","t"
"426","5610","23710","2014",543.697,"T","s"
"426","5610","23710","2015",653.421299,"T","s"
"426","5610","23710","2016",618.844586,"T","s"
"426","5610","23710","2017",1565.7225,"","s"
"426","5610","23710","2018",769.9173,"T","s"
"426","5610","23710","2019",1014.5858,"","s"
"426","5610","23710","2020",1070.543,"","s"
"426","5610","23710","2021",1220.133567,"I","s"
"426","5610","23710","2022",1270.60127,"","s"
"426","5610","23710","2023",1145.21382,"T","s"
"426","5071","23710","2010",0,"E","s"
"426","5071","23710","2011",0,"E","s"
"426","5071","23710","2012",0,"E","s"
"426","5071","23710","2013",-54,"E","s"
"426","5071","23710","2014",0,"I","i"
"426","5071","23710","2015",0,"I","i"
"426","5071","23710","2016",0,"I","i"
"426","5071","23710","2017",0,"I","i"
"426","5071","23710","2018",0,"I","i"
"426","5071","23710","2019",0,"I","i"
"426","5071","23710","2020",0,"I","i"
"426","5071","23710","2021",0,"I","i"
"426","5071","23710","2022",0,"I","i"
"426","5071","23710","2023",0,"I","i"
"426","5910","23710","2014",2.701,"T","s"
"426","5910","23710","2015",5.8341,"T","s"
"426","5910","23710","2016",7.89497,"T","s"
"426","5910","23710","2017",9.50034,"","s"
"426","5910","23710","2018",11.429,"T","s"
"426","5910","23710","2019",5.60242,"","s"
"426","5910","23710","2020",16.913,"","s"
"426","5910","23710","2021",10.31487,"I","s"
"426","5910","23710","2022",7.18213,"","s"
"426","5141","23710","2010",30,"E","h"
"426","5141","23710","2011",30,"E","h"
"426","5141","23710","2012",30,"E","h"
"426","5141","23710","2013",84,"E","h"
"426","5141","23710","2014",540.996,"E","e"
"426","5141","23710","2015",647.587199,"E","e"
"426","5141","23710","2016",610.949616,"E","e"
"426","5141","23710","2017",1556.22216,"E","e"
"426","5141","23710","2018",758.4883,"E","e"
"426","5141","23710","2019",1008.98338,"E","e"
"426","5141","23710","2020",1053.63,"E","e"
"426","5141","23710","2021",1209.818697,"E","e"
"426","5141","23710","2022",1263.41914,"E","e"
"426","5141","23710","2023",1145.21382,"E","e"
"426","261","23710","2010",105.3,"T","i"
"426","261","23710","2011",105.3,"T","i"
"426","261","23710","2012",105.3,"T","i"
"426","261","23710","2013",294.84,"T","i"
"426","261","23710","2014",1898.89596,"T","i"
"426","261","23710","2015",2273.031068,"T","i"
"426","261","23710","2016",2144.433152,"T","i"
"426","261","23710","2017",5462.339782,"T","i"
"426","261","23710","2018",2662.293933,"T","i"
"426","261","23710","2019",3541.531664,"T","i"
"426","261","23710","2020",3698.2413,"T","i"
"426","261","23710","2021",4246.463626,"T","i"
"426","261","23710","2022",4434.601181,"T","i"
"426","261","23710","2023",4019.700508,"T","i"
"426","271","23710","2010",3.57,"T","i"
"426","271","23710","2011",3.57,"T","i"
"426","271","23710","2012",3.57,"T","i"
"426","271","23710","2013",9.996,"T","i"
"426","271","23710","2014",64.378524,"T","i"
"426","271","23710","2015",77.062877,"T","i"
"426","271","23710","2016",72.703004,"T","i"
"426","271","23710","2017",185.190437,"T","i"
"426","271","23710","2018",90.260108,"T","i"
"426","271","23710","2019",120.069022,"T","i"
"426","271","23710","2020",125.38197,"T","i"
"426","271","23710","2021",143.968425,"T","i"
"426","271","23710","2022",150.346878,"T","i"
"426","271","23710","2023",136.280445,"T","i"
"426","281","23710","2010",0.54,"T","i"
"426","281","23710","2011",0.54,"T","i"
"426","281","23710","2012",0.54,"T","i"
"426","281","23710","2013",1.512,"T","i"
"426","281","23710","2014",9.737928,"T","i"
"426","281","23710","2015",11.65657,"T","i"
"426","281","23710","2016",10.997093,"T","i"
"426","281","23710","2017",28.011999,"T","i"
"426","281","23710","2018",13.652789,"T","i"
"426","281","23710","2019",18.161701,"T","i"
"426","281","23710","2020",18.96534,"T","i"
"426","281","23710","2021",21.776737,"T","i"
"426","281","23710","2022",22.741545,"T","i"
"426","281","23710","2023",20.613849,"T","i"
"426","664","23710","2010",0.144517,"T","i"
"426","664","23710","2011",0.143243,"T","i"
"426","664","23710","2012",0.141811,"T","i"
"426","664","23710","2013",0.392793,"T","i"
"426","664","23710","2014",2.501073,"T","i"
"426","664","23710","2015",2.95897,"T","i"
"426","664","23710","2016",2.757744,"T","i"
"426","664","23710","2017",6.937667,"T","i"
"426","664","23710","2018",3.340331,"T","i"
"426","664","23710","2019",4.391601,"T","i"
"426","664","23710","2020",4.531935,"T","i"
"426","664","23710","2021",5.144343,"T","i"
"426","664","23710","2022",5.314525,"T","i"
"426","664","23710","2023",4.764444,"T","i"
"426","674","23710","2010",0.0049,"T","i"
"426","674","23710","2011",0.004856,"T","i"
"426","674","23710","2012",0.004808,"T","i"
"426","674","23710","2013",0.013317,"T","i"
"426","674","23710","2014",0.084794,"T","i"
"426","674","23710","2015",0.100318,"T","i"
"426","674","23710","2016",0.093496,"T","i"
"426","674","23710","2017",0.235209,"T","i"
"426","674","23710","2018",0.113248,"T","i"
"426","674","23710","2019",0.148889,"T","i"
"426","674","23710","2020",0.153647,"T","i"
"426","674","23710","2021",0.174409,"T","i"
"426","674","23710","2022",0.180179,"T","i"
"426","674","23710","2023",0.16153,"T","i"
"426","684","23710","2010",0.000741,"T","i"
"426","684","23710","2011",0.000735,"T","i"
"426","684","23710","2012",0.000727,"T","i"
"426","684","23710","2013",0.002014,"T","i"
"426","684","23710","2014",0.012826,"T","i"
"426","684","23710","2015",0.015174,"T","i"
"426","684","23710","2016",0.014142,"T","i"
"426","684","23710","2017",0.035578,"T","i"
"426","684","23710","2018",0.01713,"T","i"
"426","684","23710","2019",0.022521,"T","i"
"426","684","23710","2020",0.023241,"T","i"
"426","684","23710","2021",0.026381,"T","i"
"426","684","23710","2022",0.027254,"T","i"
"426","684","23710","2023",0.024433,"T","i"
"426","5166","23710","2014",0,"I","i"
"426","5166","23710","2015",0,"I","i"
"426","5166","23710","2016",0,"I","i"
