"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"426","664","S2516","2011",28.664382,"I","s"
"426","664","S2516","2012",30.911385,"I","s"
"426","664","S2516","2013",0.87719,"I","s"
"426","674","S2516","2010",1.05709,"I","s"
"426","674","S2516","2011",1.047945,"I","s"
"426","674","S2516","2012",1.130094,"I","s"
"426","674","S2516","2013",0.032069,"I","s"
"426","684","S2516","2010",0.551863,"I","s"
"426","684","S2516","2011",0.547089,"I","s"
"426","684","S2516","2012",0.589975,"I","s"
"426","684","S2516","2013",0.016742,"I","s"
"426","5166","S2516","2010",0.003587,"I","s"
"426","5166","S2516","2011",-0.008646,"I","s"
"426","5166","S2516","2012",-0.009657,"I","s"
"426","5166","S2516","2013",0.005093,"I","s"
"426","665","S2516","2010",15.545441,"T","i"
"426","665","S2516","2011",15.410958,"T","i"
"426","665","S2516","2012",16.619024,"T","i"
"426","665","S2516","2013",0.470291,"T","i"
"426","5510","S2518","2010",23830,"I","s"
"426","5510","S2518","2011",9606,"I","s"
"426","5510","S2518","2012",1901,"I","s"
"426","5510","S2518","2013",7000,"I","s"
"426","5610","S2518","2010",2800,"I","s"
"426","5610","S2518","2011",3000,"I","s"
"426","5610","S2518","2012",5000,"I","s"
"426","5610","S2518","2013",5000,"I","s"
"426","5071","S2518","2010",-0.102708,"I","s"
"426","5071","S2518","2011",-0.288234,"I","s"
"426","5071","S2518","2012",-0.243695,"I","s"
"426","5071","S2518","2013",5081,"I","s"
"426","5910","S2518","2010",0,"I","s"
"426","5910","S2518","2011",0,"I","s"
"426","5910","S2518","2012",0,"I","s"
"426","5910","S2518","2013",0,"I","s"
"426","5520","S2518","2010",7198,"I","s"
"426","5520","S2518","2011",4029,"I","s"
"426","5520","S2518","2012",1787,"I","s"
"426","5520","S2518","2013",498,"I","s"
"426","5525","S2518","2010",307.064578,"I","s"
"426","5525","S2518","2011",123.779368,"I","s"
"426","5525","S2518","2012",24.495584,"I","s"
"426","5525","S2518","2013",90.199414,"I","s"
"426","5016","S2518","2010",1125.03813,"I","s"
"426","5016","S2518","2011",453.508866,"I","s"
"426","5016","S2518","2012",89.748111,"I","s"
"426","5016","S2518","2013",330.477,"I","s"
"426","5023","S2518","2010",2700,"I","s"
"426","5023","S2518","2011",1200,"I","s"
"426","5023","S2518","2012",750,"I","s"
"426","5023","S2518","2013",900,"I","s"
"426","5141","S2518","2010",15300,"I","s"
"426","5141","S2518","2011",6800,"I","s"
"426","5141","S2518","2012",4250,"I","s"
"426","5141","S2518","2013",5100,"I","s"
"426","261","S2518","2010",45257.4,"I","s"
"426","261","S2518","2011",20114.4,"I","s"
"426","261","S2518","2012",12571.5,"I","s"
"426","261","S2518","2013",15085.8,"I","s"
"426","271","S2518","2010",1261.485,"I","s"
"426","271","S2518","2011",560.66,"I","s"
"426","271","S2518","2012",350.4125,"I","s"
"426","271","S2518","2013",420.495,"I","s"
"426","281","S2518","2010",338.13,"I","s"
"426","281","S2518","2011",150.28,"I","s"
"426","281","S2518","2012",93.925,"I","s"
"426","281","S2518","2013",112.71,"I","s"
"426","664","S2518","2010",62.112869,"I","s"
"426","664","S2518","2011",27.362313,"I","s"
"426","664","S2518","2012",16.930415,"I","s"
"426","664","S2518","2013",20.09768,"I","s"
"426","674","S2518","2010",1.731307,"I","s"
"426","674","S2518","2011",0.762685,"I","s"
"426","674","S2518","2012",0.471911,"I","s"
"426","674","S2518","2013",0.560194,"I","s"
"426","684","S2518","2010",0.464062,"I","s"
"426","684","S2518","2011",0.204431,"I","s"
"426","684","S2518","2012",0.126492,"I","s"
"426","684","S2518","2013",0.150155,"I","s"
"426","5166","S2518","2010",0,"I","s"
"426","5166","S2518","2011",0,"I","s"
"426","5166","S2518","2012",0,"I","s"
"426","5166","S2518","2013",0.323586,"I","s"
"426","665","S2518","2010",20.998265,"T","i"
"426","665","S2518","2011",9.250275,"T","i"
"426","665","S2518","2012",5.723602,"T","i"
"426","665","S2518","2013",6.794347,"T","i"
"426","5610","S2520","2010",5034.587996,"I","s"
"426","5610","S2520","2011",5034.587996,"I","s"
"426","5610","S2520","2012",5034.587996,"I","s"
"426","5610","S2520","2013",4337.596812,"I","s"
"426","5071","S2520","2010",0,"I","s"
"426","5071","S2520","2011",0,"I","s"
"426","5071","S2520","2012",141.053774,"I","s"
"426","5071","S2520","2013",-43.253774,"I","s"
"426","5520","S2520","2013",88,"I","s"
"426","5141","S2520","2010",5034.587996,"I","s"
"426","5141","S2520","2011",5034.587996,"I","s"
"426","5141","S2520","2012",4893.534222,"I","s"
"426","5141","S2520","2013",4292.850586,"I","s"
"426","261","S2520","2010",13224,"I","s"
"426","261","S2520","2011",13224,"I","s"
"426","261","S2520","2012",12703.511574,"I","s"
"426","261","S2520","2013",5945.326426,"I","s"
"426","271","S2520","2010",339.6,"I","s"
"426","271","S2520","2011",339.6,"I","s"
"426","271","S2520","2012",327.469375,"I","s"
"426","271","S2520","2013",196.597825,"I","s"
"426","281","S2520","2010",73.8,"I","s"
"426","281","S2520","2011",73.8,"I","s"
"426","281","S2520","2012",71.402086,"I","s"
"426","281","S2520","2013",51.190314,"I","s"
"426","664","S2520","2010",18.149089,"I","s"
"426","664","S2520","2011",17.989064,"I","s"
"426","664","S2520","2012",17.108199,"I","s"
"426","664","S2520","2013",7.920513,"I","s"
"426","674","S2520","2010",0.466079,"I","s"
"426","674","S2520","2011",0.461969,"I","s"
"426","674","S2520","2012",0.441013,"I","s"
"426","674","S2520","2013",0.261913,"I","s"
"426","684","S2520","2010",0.101286,"I","s"
"426","684","S2520","2011",0.100393,"I","s"
"426","684","S2520","2012",0.096159,"I","s"
"426","684","S2520","2013",0.068197,"I","s"
"426","5166","S2520","2010",0,"I","s"
"426","5166","S2520","2011",0,"I","s"
"426","5166","S2520","2012",0,"I","s"
"426","5166","S2520","2013",0,"I","s"
"426","665","S2520","2010",6.909648,"T","i"
"426","665","S2520","2011",6.848724,"T","i"
"426","665","S2520","2012",6.590269,"T","i"
"426","665","S2520","2013",5.719043,"T","i"
"426","5510","S2531","2010",99000,"I","s"
"426","5510","S2531","2011",112000,"I","s"
"426","5510","S2531","2012",115000,"I","s"
"426","5510","S2531","2013",125000,"I","s"
"426","5610","S2531","2010",10000,"I","s"
"426","5610","S2531","2011",10000,"I","s"
"426","5610","S2531","2012",10000,"I","s"
"426","5610","S2531","2013",5242,"I","s"
"426","5071","S2531","2010",-11246.495265,"I","s"
"426","5071","S2531","2011",1128.98648,"I","s"
"426","5071","S2531","2012",2163.283484,"I","s"
"426","5071","S2531","2013",4635.869699,"I","s"
"426","5910","S2531","2010",0,"I","s"
"426","5910","S2531","2011",0,"I","s"
"426","5910","S2531","2012",0,"I","s"
"426","5910","S2531","2013",0,"I","s"
"426","5520","S2531","2010",2055.026963,"I","s"
"426","5520","S2531","2011",573.596446,"I","s"
"426","5520","S2531","2012",1102.619636,"I","s"
"426","5520","S2531","2013",2193.323335,"I","s"
"426","5016","S2531","2010",7449.75,"I","s"
"426","5016","S2531","2011",8428,"I","s"
"426","5016","S2531","2012",8653.75,"I","s"
"426","5016","S2531","2013",9406.25,"I","s"
"426","5141","S2531","2010",110741.718302,"I","s"
"426","5141","S2531","2011",111869.417074,"I","s"
"426","5141","S2531","2012",113080.34688,"I","s"
"426","5141","S2531","2013",114006.556966,"I","s"
"426","261","S2531","2010",71295.518243,"I","s"
"426","261","S2531","2011",72021.530712,"I","s"
"426","261","S2531","2012",72801.127321,"I","s"
"426","261","S2531","2013",73397.421375,"I","s"
"426","271","S2531","2010",1734.215309,"I","s"
"426","271","S2531","2011",1751.875071,"I","s"
"426","271","S2531","2012",1770.838232,"I","s"
"426","271","S2531","2013",1785.342682,"I","s"
"426","281","S2531","2010",96.345295,"I","s"
